,company,location,title,salary,link,skills
27,Etsy,"Software Engineer, Data Infrastructure","Brooklyn, NY 11201",Not specified,https://www.indeed.com/rc/clk?jk=a9975c21c28b6c4a&fccid=9ecb91618c39a24f&vjs=3,set()
28,Blink Health,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=a4f94a23ba560eb8&fccid=6d7040765331fd1d&vjs=3,{'SQL'}
29,Rockstar Games,Data Engineer,"New York, NY 10012 (SoHo area)",Not specified,https://www.indeed.com/rc/clk?jk=2bccd594a4d6fc6b&fccid=5549c6b9723b4956&vjs=3,{'SQL'}
30,Consumer Reports,Data Quality Engineer,"Yonkers, NY 10703 (Nepera Park area)",Not specified,https://www.indeed.com/rc/clk?jk=90189607711e5978&fccid=adea62ae96d0c2c1&vjs=3,set()
31,DataDog,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=4db9741ec289184c&fccid=448951d0ddf03e0c&vjs=3,"{'R', 'SQL'}"
32,MANTL,Data Engineer,New York State,Not specified,https://www.indeed.com/rc/clk?jk=2afab7b186a1a94b&fccid=cef6f4cf5ea6bbb1&vjs=3,{'SQL'}
33,Arcadia,Data Engineer,"New York, NY 10016 (Flatiron District area)",Not specified,https://www.indeed.com/rc/clk?jk=eac05822ad14252c&fccid=4a4c5788c8139bce&vjs=3,set()
34,Jovia Financial Credit Union,Data Engineer - CRM and Data Warehouse,"Westbury, NY 11590",Not specified,https://www.indeed.com/rc/clk?jk=be1ec553772995d1&fccid=f2e08d5016df81b8&vjs=3,{'SQL'}
35,USA for UNHCR,Data Engineer,"New York, NY 10001 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=b7a31178bf9403ff&fccid=b7f129e1302b031b&vjs=3,{'SQL'}
36,Spotify,Backend Engineer - Data Foundations Platform (Remote Eligible - Americas),"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=908501875ff084f2&fccid=fe404d18bb9eef1e&vjs=3,set()
37,Mount Sinai,Data Engineer,"New York, NY 10029 (East Harlem area)",Not specified,https://www.indeed.com/rc/clk?jk=15fa664d17748c67&fccid=c007936ceb766fe5&vjs=3,set()
38,Dashlane,Data Engineer,"New York, NY 10010 (Flatiron District area)",Not specified,https://www.indeed.com/rc/clk?jk=426987ba0d3b4e64&fccid=b884767afe3fb8b6&vjs=3,{'SQL'}
39,Hudson River Trading,Data Engineer,"New York, NY 10005 (Financial District area)",Not specified,https://www.indeed.com/rc/clk?jk=daa2e0a9db913c15&fccid=01b91641951e8886&vjs=3,set()
40,dv01,Data Engineer - Remote,New York State,Not specified,https://www.indeed.com/rc/clk?jk=bde326d6256614f5&fccid=54983fa1b37dd1bb&vjs=3,"{'R', 'SQL'}"
41,Disney Streaming Services,"Software Engineer, Engineering Data Strategy","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=dc72556c95f78242&fccid=4b5d257051285786&vjs=3,{'SQL'}
42,Facebook,"Data Engineer, Analytics","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=b0195c372cbc0bcf&fccid=1639254ea84748b5&vjs=3,{'SQL'}
43,H1,Data Engineer - Client Reporting,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=871422eee713f1ea&fccid=d7365da89e9fe3bc&vjs=3,{'SQL'}
44,Arcadia,"Software Engineer, Utility Data","New York, NY 10016 (Flatiron District area)",Not specified,https://www.indeed.com/rc/clk?jk=1d77b9d72c4e384b&fccid=4a4c5788c8139bce&vjs=3,{'SQL'}
45,Luxoft,Data Engineer,"New York, NY 10006 (Financial District area)",Not specified,https://www.indeed.com/rc/clk?jk=61d6a162d7bbb868&fccid=4b841d912d46e4fd&vjs=3,set()
46,Unioncrate,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=98c7d54fd7af7a10&fccid=669061a8c6675a9d&vjs=3,{'SQL'}
47,TUNECORE,Data Engineer,"Brooklyn, NY 11201",Not specified,https://www.indeed.com/rc/clk?jk=c3876fd818ead05b&fccid=261c0771a0ed6399&vjs=3,"{'SQL', 'TABLEAU'}"
48,Samiti Technology,Remote Big Data Engineer with Financial Industry and Scala Experience,"New York, NY",$60 - $70 an hour,https://www.indeed.com/company/Xpect-Svc./jobs/Remote-Big-Data-Engineer-Financial-Industry-Scala-Experience-1ce432fa2759496c?fccid=7bf8c9cbcbbd961e&vjs=3,set()
49,Zip,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=1722219edc00e654&fccid=62ea05949fb06eef&vjs=3,set()
50,FairyGodBoss,Data Engineer II,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=bc97bd15f637667f&fccid=831739266abc026a&vjs=3,{'SQL'}
51,Etsy,"Senior Software Engineer, Business Data","Brooklyn, NY 11201",Not specified,https://www.indeed.com/rc/clk?jk=acb6b36e285c1a0f&fccid=9ecb91618c39a24f&vjs=3,{'SQL'}
52,Ribbon Health,"Software Engineer, Data","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=233f44d75ee178c2&fccid=1b3df0faac85255e&vjs=3,{'SQL'}
53,PepsiCo,eCom Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=972791c027420268&fccid=2973259ddc967948&vjs=3,{'SQL'}
54,Capgemini,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=51e00ff5f8d74263&fccid=105ecfd0283f415f&vjs=3,{'SQL'}
55,Ampersand,Senior Data Engineer,"New York, NY 10036 (Midtown area)",Not specified,https://www.indeed.com/rc/clk?jk=ec556c0ab8e4c48d&fccid=d9ed97c9c36dae11&vjs=3,"{'R', 'SQL'}"
56,Facebook,"Data Engineer, Partnerships Central Systems, Data & Tools","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=bc6b4f778e49186d&fccid=1639254ea84748b5&vjs=3,"{'R', 'SQL', 'TABLEAU'}"
57,CAPCO,Data Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=da2836b3b1a80242&fccid=c2a63affe8751868&vjs=3,set()
58,Leumi USA,Technical Data Management Engineer,"New York, NY 10017 (Midtown area)",Not specified,https://www.indeed.com/rc/clk?jk=bb2df3f5782ed15a&fccid=a472976d47c232b9&vjs=3,{'SQL'}
59,Thermo Fisher Scientific,Data Engineer,"New York, NY 10001 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=bf1ffbfbcbac5d44&fccid=126e3afd205caa95&vjs=3,"{'SQL', 'TABLEAU'}"
60,Remesh,Senior Data Engineer,New York State,Not specified,https://www.indeed.com/rc/clk?jk=aa6b31a188765daf&fccid=f89f8382df33b93c&vjs=3,set()
61,JDRF,Sr. Data Engineer,"New York, NY 10004 (Financial District area)",Not specified,https://www.indeed.com/rc/clk?jk=11f87a9dd3b95ef1&fccid=deac2f3aa3fb8aed&vjs=3,{'SQL'}
62,1010data,Data Engineer III,"New York, NY 10017 (Turtle Bay area)",Not specified,https://www.indeed.com/rc/clk?jk=d1e3f8961d052064&fccid=d13636a017afad9c&vjs=3,{'SQL'}
63,Sia Partners,Data Engineer,"New York, NY 10006 (Financial District area)",Not specified,https://www.indeed.com/rc/clk?jk=57a130fb4dd875ca&fccid=4b32d0c68d487097&vjs=3,{'SQL'}
64,Denodo Technologies,Data Services Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=b2055192b8b2ffa6&fccid=78f10670925c5ae8&vjs=3,{'SQL'}
65,KPMG,"Associate, Visualization Data Engineer","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=faa6fcf1f50d42bc&fccid=2dd390c3a48a7ed0&vjs=3,set()
66,Facebook,"Data Engineer, Analytics (Integrator)","New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=233be2a54b0abd26&fccid=1639254ea84748b5&vjs=3,{'SQL'}
67,Acknowledge,Data Engineer,"New York, NY 10013 (Tribeca area)",Not specified,https://www.indeed.com/rc/clk?jk=70cf968833fd4177&fccid=1e5c2d460a6694f9&vjs=3,"{'SQL', 'TABLEAU'}"
68,INTURN,Data Engineer,"New York, NY 10011 (Chelsea area)",Not specified,https://www.indeed.com/rc/clk?jk=8fa2ecd380a39253&fccid=b5399d79c48f2808&vjs=3,"{'R', 'SQL'}"
69,InnovateEDU,Data Engineer,"Brooklyn, NY 11201",Not specified,https://www.indeed.com/rc/clk?jk=9101159550f44b5b&fccid=10189a63fa03fd40&vjs=3,{'SQL'}
70,Conde Nast,Data Quality Engineer,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=e2aa86903e770505&fccid=7ca1385998532a85&vjs=3,{'SQL'}
71,Veeva Systems,Data Engineer - New York Hub,"New York, NY",Not specified,https://www.indeed.com/rc/clk?jk=d937d498160144ad&fccid=353eb997fc901045&vjs=3,{'SQL'}
72,dMetrics,Senior Data Engineer,"Brooklyn, NY 11211",Not specified,https://www.indeed.com/rc/clk?jk=98627bb7afc03f4c&fccid=3c99d2c627a7f85f&vjs=3,{'SQL'}
